|name        |t90     |t90_error|flux_batse_64|flux_batse_64_error|
|GRB120403857|   4.288|    1.935|       0.6028|             0.2459|
|GRB120227725|  17.408|    0.810|      11.1926|             1.4290|
|GRB091026550|   8.960|    1.379|       4.1017|             2.0609|
|GRB110520302|  12.288|   11.336|       1.3290|             0.6345|
|GRB121216419|   9.216|    2.560|       1.4170|             0.5351|
|GRB101227195|  95.488|    1.639|       4.0541|             0.8583|
|GRB101116481|   0.576|    0.820|       3.0264|             0.6715|
|GRB110205027|   5.376|    3.278|       2.5646|             0.7061|
|GRB110825265|  48.128|    1.493|       1.2087|             0.3194|
|GRB120830212|  16.064|    3.649|       6.9431|             0.9959|
|GRB100325246|   8.192|    1.086|       1.6800|             0.7690|
|GRB100507577|  44.033|    5.221|       2.7745|             0.5211|
|GRB101024486|  20.224|    2.828|       5.4399|             1.1582|
|GRB110716018|   7.168|    1.747|       7.2233|             0.8325|
|GRB110819665|  16.384|    6.149|       9.0028|             1.6771|
|GRB090810659| 125.182|    1.846|       2.3818|             0.6586|
|GRB120114433|   2.752|    1.569|       1.5645|             0.4070|
|GRB121116459|   0.832|    0.590|       2.8964|             1.0116|
|GRB110212550|   0.064|    0.036|       9.4294|             0.7513|
|GRB100112418|  23.040|    0.572|       0.8865|             0.3359|
|GRB080714425|  40.192|    1.145|       1.0267|             0.4502|
|GRB091117080| 113.664|    2.360|       1.9950|             0.5106|
|GRB110517453|   0.576|    1.810|       3.0307|             0.5724|
|GRB090304216|   2.816|    0.923|       1.8007|             0.5238|
|GRB100604287|  13.440|    0.871|       3.4459|             1.1413|
|GRB090922605|  52.736|    1.810|       6.7756|             1.3863|
|GRB090513941|  11.776|    2.064|       0.9390|             0.3420|
|GRB091102607|   6.656|    3.435|       3.2088|             0.9132|
|GRB120827216|   5.056|    2.127|       4.4789|             0.8615|
|GRB100517639|   5.440|    0.604|       5.1803|             0.6365|
|GRB100926595|  32.256|    0.572|       3.9210|             0.7476|
|GRB090120627|   1.856|    0.181|       2.5430|             0.6284|
|GRB110618366| 163.843|   11.406|       5.2116|             1.1339|
|GRB090802666|  27.520|    6.192|       1.6360|             0.9782|
|GRB090516137| 110.594|    4.199|       2.2898|             0.4325|
|GRB130320560| 340.992|    1.619|      27.5084|             1.5005|
|GRB090606471|   8.064|    1.262|       2.4827|             1.1588|
|GRB120711115|  44.033|    0.724|      19.0531|             1.6832|
|GRB090927422|   0.512|    0.231|       2.4984|             1.0933|
|GRB080717543|  36.608|    2.985|       2.1388|             1.0308|
|GRB100429999|  25.024|    6.582|       2.1049|             0.6592|
