name,trigger_time,t90,t90_error,fluence,fluence_error,flux_1024,flux_1024_error,flux_64,flux_64_error,pflx_best_fitting_model,pflx_best_model_redchisq,fluence_batse,fluence_batse_error,flux_256,flux_256_error,flux_batse_1024,flux_batse_1024_error,flux_batse_64,flux_batse_64_error,flux_batse_256,flux_batse_256_error,pflx_plaw_index,pflx_plaw_index_pos_err,pflx_plaw_index_neg_err,pflx_plaw_phtflux,pflx_plaw_phtflux_error,pflx_plaw_phtfluxb,pflx_plaw_phtfluxb_error,pflx_plaw_redchisq,pflx_plaw_redfitstat,pflx_plaw_dof,pflx_comp_epeak,pflx_comp_epeak_pos_err,pflx_comp_epeak_neg_err,pflx_comp_index,pflx_comp_index_pos_err,pflx_comp_index_neg_err,pflx_comp_phtflux,pflx_comp_phtflux_error,pflx_comp_phtfluxb,pflx_comp_phtfluxb_error,pflx_comp_redchisq,pflx_comp_redfitstat,pflx_comp_dof,pflx_band_epeak,pflx_band_epeak_pos_err,pflx_band_epeak_neg_err,pflx_band_alpha,pflx_band_alpha_pos_err,pflx_band_alpha_neg_err,pflx_band_beta,pflx_band_beta_pos_err,pflx_band_beta_neg_err,pflx_band_phtflux,pflx_band_phtflux_error,pflx_band_phtfluxb,pflx_band_phtfluxb_error,pflx_band_redchisq,pflx_band_redfitstat,pflx_band_dof,pflx_sbpl_indx1,pflx_sbpl_indx1_pos_err,pflx_sbpl_indx1_neg_err,pflx_sbpl_brken,pflx_sbpl_brken_pos_err,pflx_sbpl_brken_neg_err,pflx_sbpl_brksc,pflx_sbpl_brksc_pos_err,pflx_sbpl_brksc_neg_err,pflx_sbpl_indx2,pflx_sbpl_indx2_pos_err,pflx_sbpl_indx2_neg_err,pflx_sbpl_phtflux,pflx_sbpl_phtflux_error,pflx_sbpl_phtfluxb,pflx_sbpl_phtfluxb_error,pflx_sbpl_redchisq,pflx_sbpl_redfitstat,pflx_sbpl_dof
GRB120403857,2012-04-0320:33:58.493,4.288,1.935,2.3964e-07,2.0458e-08,1.7469,0.2388,2.6136,1.0348,pflx_comp,1.042,1.2524e-07,1.0849e-08,2.2466,0.2498,0.3980,0.0618,0.6028,0.2459,0.5473,0.1217,-1.455056e+00,7.256412e-02,7.256412e-02,2.004649e+00,2.502085e-01,6.120782e-01,7.225781e-02,1.038,1.183,359.000,2.057393e+02,4.806175e+01,4.806175e+01,-5.134988e-01,3.888109e-01,3.888109e-01,1.825545e+00,2.488982e-01,9.192920e-01,1.180315e-01,1.042,1.158,358.000,2.025348e+02,4.821741e+01,4.821741e+01,-5.213615e-01,3.719812e-01,3.719812e-01,-2.802798e+00,6.664251e+03,6.664251e+03,1.837350e+00,2.477428e-01,9.064090e-01,1.210671e-01,1.042,1.161,357.000,-7.757302e-01,2.474177e-01,2.474177e-01,3.530549e+02,8.778929e+02,8.778929e+02,3.000000e-01,0.000000e+00,0.000000e+00,-1.084022e+01,5.740982e+01,5.740982e+01,1.794600e+00,2.435489e-01,9.529608e-01,1.199351e-01,1.045,1.156,357.000
GRB120227725,2012-02-2717:24:41.054,17.408,0.810,2.1949e-05,1.0403e-07,18.4653,0.9121,29.1086,5.0468,pflx_comp,1.120,1.3652e-05,5.1814e-08,21.2037,2.0178,8.0612,0.3301,11.1926,1.4290,9.4569,0.7040,-1.712619e+00,2.261984e-02,2.261984e-02,2.301268e+01,9.905646e-01,5.468751e+00,1.756928e-01,1.380,1.606,360.000,2.046519e+02,1.485577e+01,1.485577e+01,-8.923127e-01,9.487760e-02,9.487760e-02,1.898002e+01,8.817352e-01,7.794289e+00,3.065860e-01,1.120,1.227,359.000,1.230673e+02,2.274127e+01,2.274127e+01,-3.397106e-01,3.267783e-01,3.267783e-01,-2.277248e+00,2.276907e-01,2.276907e-01,1.792529e+01,8.901502e-01,7.895178e+00,3.104735e-01,1.079,1.222,358.000,-5.734463e-01,2.520761e-01,2.520761e-01,7.601873e+01,1.752062e+01,1.752062e+01,3.000000e-01,0.000000e+00,0.000000e+00,-2.333242e+00,1.639423e-01,1.639423e-01,1.789451e+01,9.251071e-01,7.930451e+00,3.129869e-01,1.077,1.218,358.000
GRB141205018,2014-12-0500:25:29.813,13.056,1.280,1.6031e-06,4.1267e-08,2.1505,0.2804,4.6669,1.8177,pflx_plaw,1.043,8.5376e-07,2.3433e-08,3.3649,0.5938,1.1442,0.1513,2.4750,0.6682,1.8923,0.3238,-1.492061e+00,7.543337e-02,7.543337e-02,2.499991e+00,3.885943e-01,7.431778e-01,9.539876e-02,1.043,1.208,358.000,3.674866e+02,2.019116e+02,2.019116e+02,-9.698715e-01,3.557749e-01,3.557749e-01,2.320143e+00,3.921756e-01,9.727160e-01,1.511939e-01,1.053,1.195,357.000,4.531521e+01,2.391515e+01,2.391515e+01,4.332541e+00,8.496498e+00,8.496498e+00,-1.761403e+00,1.781917e-01,1.781917e-01,2.160759e+00,3.645617e-01,9.664234e-01,1.368943e-01,1.026,1.176,356.000,-1.272784e+00,1.903781e-01,1.903781e-01,1.070662e+03,5.015932e+03,5.015932e+03,3.000000e-01,0.000000e+00,0.000000e+00,-4.485175e+00,2.927852e+01,2.927852e+01,2.416092e+00,3.975341e-01,8.636505e-01,1.377203e-01,1.050,1.201,356.000
GRB180630467,2018-06-3011:11:54.405,12.032,1.864,2.9880e-06,3.2537e-08,9.4128,0.3923,12.8245,1.8405,pflx_comp,0.990,1.4429e-06,1.4089e-08,10.7517,0.8342,2.4038,0.1356,3.0549,0.5811,2.8763,0.2802,-1.862999e+00,3.732169e-02,3.732169e-02,9.488416e+00,3.658608e-01,1.892598e+00,1.018906e-01,1.006,1.132,483.000,8.437308e+01,1.103882e+01,1.103882e+01,-1.321528e+00,1.415627e-01,1.415627e-01,9.025517e+00,3.674029e-01,2.130814e+00,1.279445e-01,0.990,1.073,482.000,6.257909e+01,8.389519e+00,8.389519e+00,-1.027303e+00,2.235205e-01,2.235205e-01,-2.425883e+00,3.417935e-01,3.417935e-01,8.979013e+00,3.647373e-01,2.048456e+00,1.295967e-01,0.976,1.070,481.000,-1.304286e+00,1.636848e-01,1.636848e-01,5.779544e+01,1.798902e+01,1.798902e+01,3.000000e-01,0.000000e+00,0.000000e+00,-2.564373e+00,4.038272e-01,4.038272e-01,8.992103e+00,3.659198e-01,2.065323e+00,1.327966e-01,0.979,1.070,481.000
GRB170116238,2017-01-1605:43:15.259,9.216,3.620,1.1231e-06,9.1975e-08,5.4422,0.5562,9.7566,3.5748,pflx_comp,1.008,6.7657e-07,5.0212e-08,6.4960,1.1075,1.1060,0.1662,2.5984,0.7796,1.3073,0.2935,-1.706730e+00,9.049690e-02,9.049690e-02,4.723313e+00,7.570112e-01,1.134225e+00,1.399176e-01,1.015,1.130,362.000,3.071990e+02,8.559717e+01,8.559717e+01,-1.126125e+00,3.290354e-01,3.290354e-01,3.914916e+00,7.277846e-01,1.461781e+00,2.097629e-01,1.008,1.109,361.000,3.148238e+02,1.558785e+02,1.558785e+02,-1.139978e+00,3.249725e-01,3.249725e-01,-8.940697e+00,1.493458e+04,1.493458e+04,3.934543e+00,7.296208e-01,1.457905e+00,2.093364e-01,1.010,1.112,360.000,-1.320846e+00,2.164979e-01,2.164979e-01,8.336020e+02,3.869035e+03,3.869035e+03,3.000000e-01,0.000000e+00,0.000000e+00,-1.129839e+01,1.119261e+02,1.119261e+02,4.029509e+00,7.304568e-01,1.451894e+00,2.074330e-01,1.007,1.110,360.000
GRB091026550,2009-10-2613:11:33.020,8.960,1.379,1.3765e-06,7.1983e-08,3.8566,0.4945,8.6651,2.4015,pflx_comp,1.057,7.1693e-07,2.7196e-08,5.5099,1.1113,1.2076,0.4945,4.1017,2.0609,2.0928,0.8984,-1.670296e+00,1.080676e-01,1.080676e-01,4.510209e+00,7.426122e-01,1.124927e+00,1.582930e-01,1.084,1.202,241.000,2.836165e+02,9.778020e+01,9.778020e+01,-9.618655e-01,3.614824e-01,3.614824e-01,3.899739e+00,7.045615e-01,1.609055e+00,2.524327e-01,1.057,1.160,240.000,2.849944e+02,1.285527e+02,1.285527e+02,-9.648916e-01,3.607676e-01,3.607676e-01,-2.064062e+01,3.600644e+09,3.600644e+09,3.900443e+00,7.046814e-01,1.607056e+00,2.523013e-01,1.062,1.165,239.000,-1.003427e+00,3.475243e-01,3.475243e-01,1.765334e+02,8.864601e+01,8.864601e+01,3.000000e-01,0.000000e+00,0.000000e+00,-2.712801e+00,2.732887e+02,2.732887e+02,3.820230e+00,7.226175e-01,1.654811e+00,2.533679e-01,1.061,1.165,239.000
GRB150312403,2015-03-1209:40:45.706,0.320,0.547,1.4018e-07,1.9221e-08,0.9922,0.1863,6.0095,0.9938,pflx_plaw,1.105,1.0083e-07,1.1822e-08,2.9299,0.4356,0.5412,0.0840,3.5757,0.5120,1.7696,0.2137,-1.410318e+00,9.356170e-02,9.356170e-02,7.039733e+00,1.117499e+00,2.226564e+00,2.901895e-01,1.105,1.009,486.000,4.502773e+02,2.392930e+02,2.392930e+02,-7.100544e-01,3.631104e-01,3.631104e-01,6.506948e+00,1.024589e+00,3.111836e+00,5.040049e-01,1.131,0.991,485.000,4.855959e+02,2.744251e+02,2.744251e+02,-7.320931e-01,3.541997e-01,3.541997e-01,-7.629395e+00,2.835757e+03,2.835757e+03,6.575567e+00,1.028885e+00,3.104355e+00,5.039408e-01,1.123,0.993,484.000,-9.657649e-01,2.646466e-01,2.646466e-01,5.439083e+02,1.382804e+03,1.382804e+03,3.000000e-01,0.000000e+00,0.000000e+00,-4.582374e+00,1.612382e+01,1.612382e+01,6.554183e+00,1.076138e+00,2.978834e+00,4.997198e-01,1.152,0.994,484.000
GRB110520302,2011-05-2007:14:26.237,12.288,11.336,1.0428e-06,5.1064e-08,2.8838,0.3491,5.7012,1.9801,pflx_plaw,0.935,5.7598e-07,2.6819e-08,3.4447,0.6874,0.7220,0.0996,1.3290,0.6345,0.8392,0.1932,-1.531715e+00,9.826934e-02,9.826934e-02,2.349284e+00,3.881595e-01,6.720907e-01,9.667377e-02,0.935,1.023,361.000,2.322358e+02,8.214801e+01,8.214801e+01,-9.330205e-01,4.378672e-01,4.378672e-01,2.156063e+00,3.966787e-01,8.838528e-01,1.519971e-01,0.954,1.018,360.000,2.445114e+02,1.918416e+02,1.918416e+02,-9.509618e-01,4.130238e-01,4.130238e-01,-1.239375e+01,1.442386e+06,1.442386e+06,2.165262e+00,3.982887e-01,8.844912e-01,1.527653e-01,0.956,1.021,359.000,-1.192346e+00,2.665569e-01,2.665569e-01,9.869011e+02,2.412958e+04,2.412958e+04,3.000000e-01,0.000000e+00,0.000000e+00,-4.241739e+01,2.801260e+03,2.801260e+03,2.193082e+00,3.918625e-01,8.967176e-01,1.593252e-01,0.957,1.020,359.000
GRB121216419,2012-12-1610:03:16.450,9.216,2.560,3.8503e-07,2.4751e-08,1.8541,0.2046,3.4977,1.0731,pflx_plaw,1.089,2.1735e-07,1.3940e-08,2.9396,0.4448,0.5343,0.0774,1.4170,0.5351,1.0485,0.2165,-1.496623e+00,1.115105e-01,1.115105e-01,1.682684e+00,2.341230e-01,4.968266e-01,7.815877e-02,1.089,1.189,327.000,1.642198e+02,4.303915e+01,4.303915e+01,-6.365730e-01,4.607122e-01,4.607122e-01,1.581379e+00,2.355475e-01,7.071551e-01,1.168490e-01,1.093,1.174,326.000,1.638008e+02,4.243906e+01,4.243906e+01,-6.387609e-01,3.862418e-01,3.862418e-01,-5.393694e+00,0.000000e+00,0.000000e+00,1.581434e+00,2.380654e-01,7.056264e-01,1.191474e-01,1.096,1.177,325.000,-1.015629e+00,2.347358e-01,2.347358e-01,4.467139e+02,2.841255e+03,2.841255e+03,3.000000e-01,0.000000e+00,0.000000e+00,-1.753435e+01,2.701376e+02,2.701376e+02,1.601549e+00,2.339556e-01,7.231814e-01,1.227684e-01,1.093,1.174,325.000
GRB200107810,2020-01-0719:26:22.806,81.154,1.086,4.0811e-06,2.1979e-08,3.2756,0.2482,4.9542,1.1367,,,2.3060e-06,1.2188e-08,3.8771,0.5083,1.2059,0.0993,1.9045,0.5103,1.4718,0.2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
