|GRB|z|Ref.|P64|L51|T90|P.L.|fNC|
|GRB050509B|0.225|1|1.32|0.22|0.07|1.57|0.87|
|GRB060502B|0.287|2|3.24|0.89|0.13|0.98|0.99|
|GRB060801|1.131|3|4.09|16.14|0.49|0.47|0.95|
|GRB061201|0.111|4|10.46|0.42|0.76|0.81|0.92|
|GRB061217|0.827|5|6.73|14.81|0.21|0.86|0.98|
|GRB071227|0.383|6|4.99|2.44|1.80|0.99|0.71|
|GRB080905A|0.122|7|4.63|0.23|1.00|0.85|0.88|
|GRB090510|0.903|8|46.75|121.4|0.30|0.98|0.97|
|GRB100117A|0.920|9|11.14|29.95|0.30|0.88|0.97|
|GRB100206A|0.407|10|11.91|6.56|0.12|0.63|0.99|
|GRB101219A|0.718|11|12.01|20.16|0.60|0.63|0.94|
|GRB130603B|0.356|12|47.30|20.01|0.18|0.82|0.99|
